"ward_no","gender","age","ethnicity","mother_tongue","religion","education","economically_active","marital_status","disability_type","health_status","disease_name"
"ward_3","female","48","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","प्राविधिक एलएलसी","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","26","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","स्नातक तह","No","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","25","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","स्नातक तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","25","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","स्नातक तह","No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","70","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","लेखपद गर्न नसक्ने (निरक्षर)","No","एकल विवाह","अपाङ्गता नभएको","सामान्य रोगी","11. Hypertension"
"ward_3","male","43","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","स्नातक तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","37","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","स्नातक तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","15","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","आधारभूत तह","No","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","54","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","स्नातक तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","51","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","माध्यमिक तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_8","male","36","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","माध्यमिक तह","yes","एकल विवाह","अपाङ्गता नभएको","सामान्य रोगी","1. Lung Disease"
"ward_8","female","39","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","आधारभूत तह","yes","एकल विवाह","अपाङ्गता नभएको","सामान्य रोगी","1. Lung Disease"
"ward_8","male","16","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","माध्यमिक तह","No","अबिबाहित","अपाङ्गता नभएको","सामान्य रोगी","15. Other Injuries"
"ward_8","male","42","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","साधारण लेखपढ (साक्षर)","yes","एकल विवाह","अपाङ्गता नभएको","सामान्य रोगी","11. Hypertension"
"ward_8","female","40","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","आधारभूत तह","yes","एकल विवाह","अपाङ्गता नभएको","सामान्य रोगी","15. Other Injuries"
"ward_8","male","19","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","माध्यमिक तह","No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_8","male","51","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","साधारण लेखपढ (साक्षर)","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_8","female","50","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","साधारण लेखपढ (साक्षर)","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_8","female","29","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","माध्यमिक तह","No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_8","male","53","पहाडी जनजाती","नेवारी","हिन्दू","आधारभूत तह","yes","एकल विवाह","अपाङ्गता नभएको","सामान्य रोगी","15. Other Injuries"
"ward_8","female","54","पहाडी जनजाती","नेवारी","हिन्दू","लेखपद गर्न नसक्ने (निरक्षर)","yes","एकल विवाह","अपाङ्गता नभएको","सामान्य रोगी","15. Other Injuries"
